Username,Followers,Following,Posts,Engagement Rate (%),Profile Picture,Verified,Account Age (Months),Suspicious Words in Bio,Follower-Following Ratio,Likes-Per-Post,Comments-Per-Post,Engagement Consistency,Account Type
user_18,39238,3518,474,8.012142110462824,Yes,No,84,No,11.15349630471859,1103,218,Consistent,Fake
user_19,17618,2398,327,4.831520817037209,Yes,No,63,Yes,7.346955796497081,7520,11,Inconsistent,Genuine
user_20,19819,3736,344,14.139849054172437,Yes,No,67,No,5.304871520342612,9611,301,Consistent,Genuine
user_21,28743,2871,301,4.259803003553719,Yes,No,52,No,10.011494252873563,5409,414,Consistent,Genuine
user_22,6446,1161,451,6.730023784714558,Yes,No,68,No,5.552110249784668,9670,31,Consistent,Fake
user_23,27530,4855,288,13.154588632026726,Yes,Yes,26,No,5.670442842430484,7869,159,Inconsistent,Genuine
user_24,41484,243,0,12.708036718481225,No,No,75,No,170.71604938271605,2956,488,Consistent,Genuine
user_25,25708,2591,146,3.198470558771021,Yes,No,2,No,9.922037823234273,7710,236,Consistent,Genuine
user_26,18992,1064,286,12.138327992037802,Yes,No,14,Yes,17.849624060150376,6017,226,Consistent,Genuine
user_27,18481,4325,463,7.143709857699443,Yes,No,108,No,4.273063583815029,9574,180,Consistent,Genuine
user_28,2797,2596,141,7.503048645237651,Yes,No,30,Yes,1.0774268104776579,3384,316,Consistent,Fake
user_29,239,920,52,2.4354596000311846,Yes,No,49,No,0.2597826086956522,9761,45,Inconsistent,Genuine
user_30,19168,6,303,1.6687219494783074,No,No,12,No,3194.6666666666665,28,340,Consistent,Fake
user_31,35823,468,68,11.055119951119595,Yes,Yes,90,No,76.5448717948718,8897,457,Consistent,Genuine
user_32,1949,4171,360,7.698686709151846,Yes,No,44,Yes,0.46727403500359627,9212,79,Consistent,Genuine
user_33,1317,4,89,6.834335187920104,Yes,No,33,No,329.25,9638,134,Consistent,Genuine
user_34,31601,646,445,11.077869315459752,Yes,No,13,No,48.917956656346746,7756,259,Consistent,Genuine
user_35,11444,118,219,11.599937035371092,Yes,Yes,78,Yes,96.98305084745763,6948,474,Consistent,Genuine
user_36,3606,2929,449,2.8041684312056265,Yes,No,88,Yes,1.2311369067941278,5755,307,Consistent,Genuine
user_37,3940,2552,497,9.348264667425799,Yes,No,98,Yes,1.5438871473354232,3602,246,Consistent,Genuine
user_38,41656,4290,191,2.46263419302644,Yes,Yes,108,No,9.71002331002331,5062,472,Inconsistent,Fake
user_39,30790,847,453,11.394938747421163,Yes,No,26,No,36.35182998819362,8071,158,Consistent,Genuine
user_40,14552,2763,62,10.025849765873524,Yes,No,21,No,5.266739051755338,7244,202,Consistent,Fake
user_41,21827,1142,72,14.37091200571014,Yes,No,28,Yes,19.112959719789842,6372,111,Consistent,Genuine
user_42,10677,1811,160,1.4998912371681072,Yes,No,48,No,5.895637769188294,7105,467,Consistent,Genuine
user_43,8842,724,168,1.3272934566931875,Yes,No,100,No,12.212707182320441,3581,291,Consistent,Genuine
user_44,43373,225,88,4.591712583051402,Yes,No,40,No,192.76888888888888,2762,437,Consistent,Fake
user_45,43071,4628,175,4.294732414170637,Yes,No,66,No,9.306611927398444,572,309,Inconsistent,Genuine
user_46,8483,4209,268,4.081192586543997,Yes,No,106,Yes,2.0154430981230695,7705,118,Consistent,Genuine
user_47,43051,4655,72,13.640691417555033,Yes,No,73,Yes,9.248335123523093,614,382,Consistent,Genuine
user_48,11066,2049,244,4.118419897817839,Yes,No,87,Yes,5.4006832601268915,4050,16,Consistent,Fake
user_49,23947,4750,76,4.44327102886515,Yes,No,79,No,5.041473684210526,325,492,Consistent,Genuine
user_50,2662,4416,158,11.511274805060474,Yes,No,77,Yes,0.6028079710144928,3740,330,Consistent,Genuine
user_51,23533,1574,488,7.02122771553283,Yes,No,23,No,14.95108005082592,358,413,Consistent,Fake
user_52,48605,1829,458,11.762303075850127,Yes,No,81,No,26.574630945872062,3777,226,Consistent,Genuine
user_53,17209,1918,323,1.447809284683586,Yes,No,48,No,8.972367049009385,5906,360,Consistent,Fake
user_54,45024,4235,97,7.569782308264072,Yes,Yes,2,No,10.631404958677686,1721,485,Consistent,Fake
user_55,41044,2027,380,0.9873972026575981,Yes,Yes,84,No,20.248643315244202,1349,405,Consistent,Genuine
user_56,14591,3745,101,1.4084714501026405,Yes,No,20,No,3.896128170894526,3696,116,Consistent,Genuine
user_57,35970,902,493,13.64334307349396,Yes,No,59,Yes,39.8780487804878,3896,42,Consistent,Genuine
user_58,26581,4786,131,2.51905788120513,Yes,No,46,No,5.553907229419139,4260,367,Inconsistent,Fake
user_59,1635,2040,101,8.220099892990648,Yes,No,3,No,0.8014705882352942,9788,114,Consistent,Genuine
user_60,3993,10,18,6.460886237710245,Yes,No,55,No,399.3,9819,282,Consistent,Genuine
user_61,23989,261,453,5.536478230753219,Yes,No,12,No,91.91187739463602,6941,36,Inconsistent,Genuine
user_62,19507,1674,481,13.547583512465451,Yes,No,40,No,11.652927120669057,3808,301,Consistent,Fake
user_63,1071,2220,81,0.8164392532445978,Yes,No,66,No,0.48243243243243245,5246,112,Consistent,Fake
user_64,11703,2061,396,10.124950449546041,Yes,No,100,No,5.678311499272198,8384,34,Consistent,Genuine
user_65,43623,3714,488,14.469219296096481,Yes,No,78,No,11.745557350565429,3845,131,Consistent,Fake
user_66,13467,1620,278,8.622438660196709,Yes,No,16,Yes,8.312962962962963,2577,335,Inconsistent,Genuine
user_67,40807,321,338,14.083925699479831,Yes,No,83,No,127.1246105919003,91,335,Inconsistent,Genuine
user_68,9742,1343,364,1.2577392496473445,Yes,No,34,No,7.253909158600149,4234,468,Consistent,Genuine
user_69,45808,2377,330,6.572503126575341,Yes,No,44,No,19.271350441733276,8672,409,Consistent,Genuine
user_70,6923,2833,128,4.272287968949742,Yes,No,110,No,2.4436992587363218,6592,376,Consistent,Fake
user_71,5725,2825,343,11.096903992220582,Yes,No,6,No,2.0265486725663715,8128,227,Consistent,Genuine
user_72,211,1995,309,14.728807812210077,Yes,No,77,Yes,0.10576441102756892,1075,146,Consistent,Genuine
user_73,37115,2959,454,4.219685905441594,Yes,No,64,No,12.543088881378845,2513,121,Consistent,Genuine
user_74,26607,2039,88,9.98553172137408,Yes,No,100,No,13.049043648847475,8168,80,Consistent,Fake
user_75,33813,3491,212,3.372415675016232,Yes,No,22,No,9.685763391578345,6861,172,Consistent,Fake
user_76,32656,3678,142,8.697288691288344,Yes,No,18,Yes,8.87873844480696,8990,153,Consistent,Genuine
user_77,11584,1119,64,7.227021056980875,Yes,Yes,12,No,10.352100089365505,604,149,Consistent,Genuine
user_78,29177,1605,75,14.594077279657288,Yes,No,52,No,18.178816199376946,2979,374,Inconsistent,Fake
user_79,40447,4028,198,9.323645454098765,Yes,No,118,No,10.041459781529294,7140,57,Consistent,Fake
user_80,25901,236,142,5.5678423952588725,Yes,No,94,No,109.75,7065,62,Inconsistent,Genuine
user_81,1066,1970,404,2.1543888808750338,Yes,No,117,Yes,0.5411167512690356,4916,155,Consistent,Genuine
user_82,24303,4430,402,2.6930790166565513,No,No,51,No,5.486004514672686,6800,448,Consistent,Genuine
user_83,24326,1909,315,3.7670954842929087,Yes,No,104,No,12.742797276060765,597,427,Consistent,Genuine
user_84,23297,376,92,4.139016589434321,Yes,No,71,No,61.96010638297872,9724,355,Consistent,Fake
user_85,24350,3531,472,12.833932838696498,Yes,No,96,No,6.896063438119513,7320,426,Consistent,Genuine
user_86,8579,2636,416,8.637730430096612,No,No,48,Yes,3.2545523520485586,8705,420,Consistent,Genuine
user_87,17312,1571,304,8.089168214928314,Yes,No,19,No,11.019732654360281,5622,321,Consistent,Genuine
user_88,9318,2561,223,2.1641486421036533,Yes,No,6,No,3.6384224912143694,1877,400,Consistent,Genuine
user_89,21321,3392,496,12.972025553566807,Yes,No,84,No,6.2856721698113205,1699,167,Consistent,Genuine
user_90,12235,2966,290,10.980807396523014,Yes,No,27,No,4.125084288604181,9221,165,Consistent,Genuine
user_91,21293,3644,427,1.481191247550023,Yes,No,53,No,5.843304061470911,5780,84,Consistent,Fake
user_92,39149,3851,101,10.763608909831646,Yes,No,107,No,10.16593092703194,716,444,Inconsistent,Genuine
user_93,8621,873,473,8.381304151468367,Yes,No,101,Yes,9.875143184421535,4086,136,Consistent,Fake
user_94,40026,1253,266,1.6850175133282848,Yes,No,48,No,31.94413407821229,665,460,Consistent,Genuine
user_95,38094,1315,354,7.145359302165518,Yes,No,7,No,28.968821292775665,7846,458,Consistent,Genuine
user_96,49266,4821,455,7.5280961633856815,Yes,No,59,No,10.219041692594898,6611,188,Consistent,Genuine
user_97,49034,2899,109,2.9037308323674984,Yes,No,69,No,16.914108313211454,1079,463,Consistent,Fake
user_98,40824,78,461,14.212623131504094,Yes,No,11,No,523.3846153846154,8419,399,Consistent,Genuine
user_99,2618,2622,329,12.824642886469597,Yes,No,15,No,0.9984744469870328,8340,378,Consistent,Genuine
user_100,2077,4228,449,10.200823891272071,No,Yes,64,No,0.49124881740775783,1069,1,Consistent,Genuine
user_101,2745,601,429,7.203285634508805,Yes,No,3,No,4.56738768718802,5263,105,Consistent,Genuine
user_102,48240,1066,264,6.4706003529753735,Yes,Yes,69,No,45.25328330206379,7951,363,Consistent,Genuine
user_103,5308,2137,2,9.939115273688836,Yes,No,23,Yes,2.4838558727187645,1363,71,Inconsistent,Genuine
user_104,22052,2450,84,8.408762106400129,No,No,53,No,9.000816326530613,4508,426,Consistent,Genuine
user_105,39554,2344,281,1.4029600352873415,Yes,No,37,Yes,16.87457337883959,1755,125,Consistent,Genuine
user_106,33209,1864,327,7.931288407169809,Yes,No,9,No,17.81598712446352,519,169,Consistent,Genuine
user_107,14036,1319,303,12.192852449876172,Yes,No,15,No,10.64139499620925,5463,204,Consistent,Fake
user_108,12716,4712,449,7.1589782251558916,Yes,No,3,No,2.698641765704584,7233,312,Inconsistent,Genuine
user_109,38710,3598,453,1.253370374536892,Yes,No,93,No,10.75875486381323,1102,336,Inconsistent,Genuine
user_110,3611,3763,411,11.90103389106848,Yes,No,70,No,0.9596066967844805,597,486,Consistent,Genuine
user_111,26904,4671,116,3.4197748409716286,Yes,No,17,Yes,5.759794476557483,3273,471,Consistent,Genuine
user_112,39002,2191,220,4.250002105876562,No,No,26,No,17.80100410771337,5781,194,Consistent,Genuine
user_113,22712,993,153,2.8882421247682903,Yes,No,21,No,22.872104733131923,6256,157,Consistent,Genuine
user_114,8442,2713,152,5.2881184406367145,Yes,No,72,No,3.111684482123111,7258,499,Consistent,Genuine
user_115,30585,2193,11,11.472896832485208,Yes,No,21,No,13.946648426812585,8780,140,Inconsistent,Fake
user_116,13117,1249,132,8.031094962807092,Yes,No,11,No,10.502001601281025,6554,274,Inconsistent,Genuine
user_117,48083,3055,481,3.470778475185332,Yes,No,38,No,15.73911620294599,9599,6,Inconsistent,Genuine
user_118,23649,4599,303,13.228536133204592,Yes,No,72,No,5.142204827136334,8002,392,Consistent,Genuine
user_119,35272,4034,292,13.253936896797173,Yes,No,106,No,8.7436787307883,4846,466,Consistent,Genuine
user_120,11887,1998,462,13.1233871631671,Yes,No,88,Yes,5.94944944944945,9821,492,Consistent,Genuine
user_121,14089,4917,299,3.9625450650323195,Yes,No,35,Yes,2.8653650599959324,9186,53,Consistent,Fake
user_122,30868,3688,227,7.042970490624327,Yes,No,119,No,8.369848156182213,4798,103,Consistent,Fake
user_123,19165,2152,270,14.782350014042688,Yes,No,14,No,8.905669144981413,6605,341,Consistent,Genuine
user_124,11015,4019,42,11.69418090649486,Yes,No,119,No,2.7407315252550384,2986,337,Consistent,Genuine
user_125,24588,3111,431,0.8939276077706173,Yes,No,14,Yes,7.903567984570878,400,60,Inconsistent,Genuine
user_126,42580,1971,342,1.4454665732771348,Yes,No,10,No,21.603247082699138,2855,86,Inconsistent,Fake
user_127,5106,198,325,7.227004963778825,Yes,No,12,No,25.78787878787879,3412,257,Inconsistent,Genuine
user_128,32532,2627,301,13.683692984992621,Yes,No,38,No,12.383707651313285,56,177,Inconsistent,Genuine
user_129,47766,1203,497,8.311176070314357,Yes,No,108,No,39.70573566084788,8022,241,Consistent,Fake
user_130,8160,2036,363,7.718281366497208,Yes,Yes,119,Yes,4.007858546168959,1875,202,Consistent,Genuine
user_131,13823,478,378,2.0293686493711434,Yes,No,110,No,28.918410041841003,4543,30,Consistent,Genuine
user_132,27316,1255,426,10.023311518502263,Yes,No,34,No,21.76573705179283,4298,288,Consistent,Genuine
user_133,17462,923,492,12.42049582870327,Yes,No,41,Yes,18.918743228602384,3768,461,Inconsistent,Genuine
user_134,33320,420,20,6.016090108859654,Yes,Yes,10,Yes,79.33333333333333,5752,79,Inconsistent,Fake
user_135,6960,2205,406,11.746371838417248,Yes,No,17,Yes,3.1564625850340136,4833,10,Consistent,Genuine
user_136,45503,2598,106,14.484911481561769,No,No,17,Yes,17.51462663587375,1353,416,Consistent,Genuine
user_137,25496,1121,335,3.4546136573514916,Yes,No,67,No,22.743978590544156,4987,253,Consistent,Genuine
user_138,256,3069,302,8.088279652323749,Yes,No,62,No,0.08341479309221245,6597,383,Consistent,Fake
user_139,21568,951,116,4.663500392226346,Yes,No,95,Yes,22.679284963196636,4311,390,Inconsistent,Genuine
user_140,22411,2337,123,11.99638907599067,Yes,No,115,Yes,9.58964484381686,2934,383,Consistent,Genuine
user_141,23469,2244,398,8.875103805276783,No,Yes,1,No,10.45855614973262,22,286,Consistent,Genuine
user_142,48752,2646,280,9.701445054479404,Yes,Yes,12,No,18.424792139077855,1209,175,Consistent,Genuine
user_143,41573,1858,291,12.069755314430465,Yes,No,103,No,22.3751345532831,8940,125,Consistent,Fake
user_144,45201,4613,202,6.2415718536055955,Yes,Yes,4,No,9.798612616518534,804,493,Consistent,Genuine
user_145,22453,1866,50,13.768805991902127,Yes,No,42,No,12.032690246516614,8325,46,Inconsistent,Genuine
user_146,18191,2913,270,8.228918575069029,Yes,No,13,No,6.244764847236526,4416,205,Consistent,Genuine
user_147,14870,2854,323,2.7903449311125463,Yes,No,98,Yes,5.210231254379818,8625,475,Consistent,Fake
user_148,40392,4911,276,10.590537213447636,Yes,No,106,No,8.224801466096517,5141,436,Consistent,Genuine
user_149,6424,3229,140,12.002289581354688,Yes,No,85,No,1.9894704242799628,4968,106,Consistent,Genuine
user_150,1728,3720,469,5.093044317479137,Yes,No,86,No,0.4645161290322581,3671,463,Inconsistent,Genuine
user_151,33877,3229,274,12.929099226481918,Yes,No,4,No,10.49148343140291,7292,274,Consistent,Genuine
user_152,16248,2372,289,13.639077194103614,Yes,Yes,82,No,6.84991568296796,7001,336,Consistent,Fake
user_153,9964,2892,333,4.51511506697823,Yes,No,69,No,3.4453665283540804,2098,122,Consistent,Genuine
user_154,27940,3757,380,14.76106135437072,Yes,No,19,No,7.436784668618579,8444,473,Consistent,Genuine
user_155,22349,4226,451,2.540317156706997,Yes,No,2,Yes,5.288452437292948,5061,133,Consistent,Genuine
user_156,43635,95,495,3.4292271918361044,Yes,No,12,Yes,459.3157894736842,9321,106,Consistent,Genuine
user_157,43739,2675,372,3.171260168951379,Yes,Yes,81,No,16.351028037383177,3264,304,Inconsistent,Fake
user_158,42607,1956,51,13.462850795114122,Yes,Yes,74,No,21.78271983640082,5435,328,Consistent,Genuine
user_159,49130,794,493,9.987242008711947,Yes,No,98,No,61.876574307304786,8493,49,Consistent,Genuine
user_160,44070,1835,26,2.705512106722957,Yes,No,6,No,24.016348773841962,6691,336,Consistent,Genuine
user_161,2743,2117,156,6.88468956634106,Yes,No,8,Yes,1.295701464336325,2763,94,Consistent,Genuine
user_162,29517,4107,238,9.42182136351213,Yes,No,51,Yes,7.18699780861943,4005,267,Inconsistent,Fake
user_163,29773,3326,155,1.7102292323460577,Yes,No,11,No,8.951593505712568,3241,22,Consistent,Fake
user_164,46749,2920,290,13.295037341906411,Yes,No,63,No,16.009931506849316,3057,53,Consistent,Fake
user_165,3677,2598,135,12.15225126390226,Yes,No,57,No,1.4153194765204002,550,373,Inconsistent,Genuine
user_166,25989,3206,143,7.825498216861255,Yes,No,12,No,8.106363069245166,5574,253,Consistent,Genuine
user_167,48975,4808,105,14.52333592125797,Yes,No,73,No,10.186148086522463,5411,452,Consistent,Genuine
user_168,42991,815,419,6.557534199488946,Yes,No,2,No,52.74969325153374,1587,234,Consistent,Genuine
user_169,21884,346,157,14.769599626029219,Yes,No,8,Yes,63.2485549132948,5920,483,Consistent,Genuine
user_170,18097,2350,145,10.184839982652592,Yes,No,11,No,7.700851063829787,5260,58,Consistent,Genuine
user_171,26155,363,1,9.70273346218215,Yes,No,53,No,72.05234159779614,4409,163,Consistent,Genuine
user_172,10280,2444,432,2.9063459817888826,Yes,No,100,No,4.2062193126022915,5783,258,Consistent,Genuine
user_173,15757,2266,76,13.287952495417338,No,No,10,No,6.953662842012356,712,313,Inconsistent,Genuine
user_174,22026,2189,131,6.69860047484892,Yes,Yes,85,No,10.062128825947921,5406,215,Consistent,Fake
user_175,44312,3006,89,2.852384383845951,Yes,No,84,No,14.741184298070525,7990,182,Consistent,Genuine
user_176,23826,3282,344,0.682809039648506,Yes,No,112,Yes,7.259597806215722,7420,56,Consistent,Fake
user_177,30130,985,349,8.616457412756548,Yes,No,8,No,30.588832487309645,6843,144,Inconsistent,Genuine
user_178,1356,1640,458,8.147294520778807,Yes,No,36,Yes,0.8268292682926829,2433,422,Consistent,Genuine
user_179,6826,828,262,10.930627524352799,Yes,No,93,No,8.243961352657005,3301,89,Consistent,Genuine
user_180,27301,2731,350,13.408741768758132,Yes,Yes,106,Yes,9.996704503844745,270,451,Consistent,Genuine
user_181,9524,3532,107,1.651395477323928,Yes,No,76,No,2.696489241223103,9986,310,Consistent,Genuine
user_182,40344,4452,73,11.106699109935255,Yes,No,14,No,9.06199460916442,1079,44,Inconsistent,Genuine
user_183,22009,2936,38,3.217473189414942,Yes,No,112,No,7.49625340599455,5322,459,Consistent,Fake
user_184,5580,3877,396,12.943567270778878,Yes,No,54,No,1.4392571575960795,8795,256,Consistent,Genuine
user_185,29370,127,158,12.376420950994014,Yes,No,114,Yes,231.25984251968504,5257,20,Consistent,Fake
user_186,3798,3178,70,8.341509447290393,Yes,No,85,No,1.1950912523599748,7982,466,Consistent,Fake
user_187,32018,3057,446,10.798520580038018,Yes,Yes,86,No,10.473666993784756,9777,20,Inconsistent,Fake
user_188,32612,604,311,5.058076641164352,Yes,No,21,No,53.99337748344371,6214,51,Consistent,Fake
user_189,13595,3450,240,7.3319345345258125,Yes,No,108,Yes,3.9405797101449274,5006,337,Consistent,Genuine
user_190,713,4147,425,12.413735016801839,Yes,No,50,No,0.17193151675910295,3985,170,Consistent,Fake
user_191,34816,3534,444,7.159345359011602,Yes,No,94,No,9.851726089417092,9587,435,Consistent,Fake
user_192,8044,3368,297,5.688074847218906,Yes,No,39,Yes,2.388361045130641,8791,66,Consistent,Genuine
user_193,28071,3369,439,7.666080485129348,Yes,No,20,No,8.332146037399822,8705,112,Consistent,Fake
user_194,30353,3798,35,12.509614160339666,Yes,No,88,No,7.991837809373354,5991,299,Consistent,Genuine
user_195,3354,1793,83,5.360516686877655,Yes,No,87,No,1.8706079196876744,6227,159,Consistent,Genuine
user_196,46626,2862,451,3.019543100468285,Yes,Yes,7,No,16.29140461215933,9258,265,Consistent,Fake
user_197,39403,3477,373,10.824203294796321,Yes,No,9,No,11.332470520563705,7833,319,Consistent,Fake
user_198,17725,3418,262,12.476684084267186,Yes,No,1,No,5.185781158572264,2886,231,Consistent,Fake
user_199,44467,1646,309,1.9592434385912334,Yes,No,26,No,27.015188335358445,2653,462,Inconsistent,Genuine
user_200,23988,1206,384,3.9781746349611984,Yes,Yes,38,No,19.890547263681594,9280,324,Consistent,Genuine
user_201,23714,3031,171,2.5585938515344115,Yes,No,38,No,7.823820521280106,4864,67,Consistent,Genuine
user_202,1686,2873,375,5.545150467941416,Yes,No,118,No,0.5868430212321615,2514,27,Consistent,Fake
user_203,20130,3073,172,7.030089194128483,Yes,No,61,No,6.5506020175724045,3969,436,Consistent,Fake
user_204,27778,1855,361,11.357981885967943,Yes,No,44,No,14.97466307277628,3284,115,Inconsistent,Genuine
user_205,49900,4022,46,9.941639980784275,Yes,No,86,No,12.40676280457484,7740,50,Inconsistent,Genuine
user_206,26786,4663,378,9.503464228437252,Yes,Yes,44,No,5.744370576881836,4566,180,Consistent,Genuine
user_207,28723,2709,140,5.609436725839989,Yes,No,74,No,10.60280546327058,2196,259,Consistent,Fake
user_208,37555,3503,374,12.700989519729019,Yes,No,119,Yes,10.720810733656865,789,78,Inconsistent,Genuine
user_209,47373,1333,405,7.333663927273387,Yes,No,62,No,35.53863465866467,3475,272,Consistent,Fake
user_210,46695,202,117,14.69702160121974,Yes,No,6,No,231.16336633663366,9856,107,Consistent,Genuine
user_211,904,3508,276,9.695061005288185,Yes,No,17,Yes,0.2576966932725199,1309,450,Consistent,Genuine
user_212,24598,4213,213,2.3308387526852896,Yes,Yes,51,No,5.838594825539995,864,73,Inconsistent,Fake
user_213,38673,575,219,10.304574650093793,Yes,No,114,No,67.25739130434782,5389,174,Inconsistent,Genuine
user_214,7442,537,392,5.2140082237596355,Yes,Yes,38,No,13.858472998137803,3363,489,Consistent,Genuine
user_215,46767,1626,25,10.451744351948413,Yes,No,24,No,28.7619926199262,8215,183,Consistent,Fake
user_216,21606,2123,8,1.5097966483548833,Yes,No,51,No,10.177107866227038,3003,22,Inconsistent,Genuine
user_217,38609,386,270,3.035780839051411,Yes,No,10,Yes,100.02331606217616,8502,273,Consistent,Genuine
user_218,26359,3282,9,12.908190254133903,Yes,No,72,No,8.031383302864107,1231,128,Consistent,Genuine
user_219,21969,475,471,3.794103576840966,Yes,No,21,Yes,46.25052631578947,7959,290,Consistent,Fake
user_220,4981,418,377,12.63709631602263,Yes,No,70,Yes,11.916267942583731,2711,319,Consistent,Genuine
user_221,33020,3601,120,4.549503282588951,Yes,No,85,Yes,9.169675090252708,6581,185,Consistent,Fake
user_222,44265,955,124,9.821787695851262,Yes,No,57,No,46.35078534031414,7705,478,Consistent,Fake
user_223,12738,4972,169,10.565183315892549,Yes,No,39,No,2.561946902654867,421,58,Inconsistent,Genuine
user_224,25392,4859,71,7.933493920603268,Yes,No,88,Yes,5.225766618645812,9965,491,Consistent,Fake
user_225,37207,1206,151,4.927004812102604,Yes,No,33,Yes,30.85157545605307,946,0,Consistent,Genuine
user_226,2377,4760,207,3.5833434573808938,Yes,No,59,No,0.49936974789915967,9378,130,Consistent,Genuine
user_227,40822,4121,48,0.9812456411551802,Yes,No,18,Yes,9.905848095122543,1834,66,Consistent,Genuine
user_228,40595,1991,153,4.907222817990495,Yes,No,56,Yes,20.389251632345555,1564,292,Consistent,Genuine
user_229,247,4806,346,9.970860462703603,Yes,No,92,Yes,0.051394090719933415,7332,466,Consistent,Genuine
user_230,23559,3573,292,14.105419867502999,Yes,No,57,No,6.593618807724601,4944,284,Inconsistent,Genuine
user_231,34748,4381,67,13.132464992814255,Yes,No,116,No,7.931522483451267,1308,88,Consistent,Genuine
user_232,44592,4159,49,11.607939259761887,Yes,No,96,No,10.721808126953595,2986,416,Consistent,Genuine
user_233,15137,4758,151,11.93248647717283,Yes,No,76,No,3.1813787305590586,386,99,Consistent,Genuine
user_234,22721,2714,18,10.14228110040193,Yes,No,48,No,8.37177597641857,6131,188,Inconsistent,Genuine
user_235,25234,2204,99,4.274159434707044,Yes,No,42,No,11.449183303085299,9353,476,Consistent,Genuine
user_236,27898,3121,59,13.654327945234533,Yes,No,27,No,8.93880166613265,3258,377,Consistent,Genuine
user_237,42157,967,166,10.225618522634594,No,No,74,No,43.595656670113755,6121,345,Consistent,Fake
user_238,20716,4945,201,8.62638914921638,Yes,No,110,No,4.189282103134479,4811,387,Inconsistent,Genuine
user_239,44407,3433,344,2.1093473035954755,Yes,No,52,Yes,12.935333527526945,6574,240,Consistent,Genuine
user_240,15758,689,145,6.982305385193168,Yes,No,42,No,22.870827285921624,6697,269,Consistent,Genuine
user_241,26420,4244,402,7.175194932427932,Yes,Yes,32,No,6.22525918944392,3933,497,Consistent,Genuine
user_242,49861,3702,163,13.036172338078714,Yes,No,106,No,13.468665586169639,1439,218,Consistent,Fake
user_243,2861,342,457,8.426399192722933,Yes,No,26,No,8.365497076023392,6169,416,Consistent,Fake
user_244,47061,1725,480,6.01580796007094,Yes,No,25,No,27.281739130434783,4480,405,Consistent,Genuine
user_245,6596,4423,438,14.66360476340456,Yes,No,75,Yes,1.491295500791318,55,175,Consistent,Genuine
user_246,34804,1793,241,2.1054486032315776,Yes,No,23,No,19.411042944785276,3324,386,Consistent,Genuine
user_247,30256,1760,68,6.626952210523197,Yes,No,98,No,17.19090909090909,6777,470,Consistent,Genuine
user_248,41156,3213,174,1.1093577899853768,Yes,No,57,No,12.809212573918456,105,340,Consistent,Fake
user_249,11461,990,48,11.22860975112049,Yes,No,52,No,11.576767676767677,3201,232,Inconsistent,Genuine
user_250,2961,2263,482,13.812110006887684,Yes,No,104,No,1.3084401237295624,669,150,Inconsistent,Genuine
user_251,1784,2483,107,4.560541278482097,Yes,No,87,No,0.7184857027788965,8934,451,Consistent,Genuine
user_252,18277,952,225,12.945954313587253,Yes,No,93,No,19.198529411764707,966,276,Consistent,Genuine
user_253,8730,723,160,4.737164341697517,Yes,Yes,31,Yes,12.074688796680498,307,228,Consistent,Genuine
user_254,19410,3390,118,13.706167343836771,Yes,Yes,64,No,5.725663716814159,2138,170,Inconsistent,Genuine
user_255,18393,2080,148,11.432447602153367,Yes,No,71,No,8.842788461538461,109,222,Consistent,Genuine
